"동별","항목",2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4
"동별","항목",합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"서대문구","등록외국인",16142,69,124,182,616,5535,4143,1625,900,691,513,462,369,331,250,143,84,58,28,13,3,3,15769,86,130,189,1142,5699,3438,1425,834,681,482,453,347,319,241,133,82,42,28,11,4,3
"마포구","계",371852,8270,11013,12653,13891,24640,37065,37200,29490,29543,27067,30696,26318,23211,20108,13854,11130,8805,4772,1711,366,49,372745,8391,11362,12710,13985,25251,36963,37249,29653,29784,27016,30859,26196,23317,20060,13400,11059,8746,4701,1635,359,49
"마포구","한국인",360520,8169,10815,12465,13548,22187,34466,35672,28457,28775,26540,30251,25918,22901,19918,13717,11067,8774,4761,1707,365,47,361417,8255,11144,12520,13425,22478,34733,35765,28702,29048,26509,30393,25811,23022,19884,13279,11004,8716,4692,1631,359,47
"마포구","등록외국인",11332,101,198,188,343,2453,2599,1528,1033,768,527,445,400,310,190,137,63,31,11,4,1,2,11328,136,218,190,560,2773,2230,1484,951,736,507,466,385,295,176,121,55,30,9,4,-,2
"양천구","계",432901,8390,15280,23387,23292,21986,27479,27987,25093,34196,36725,39220,34911,33202,30025,21231,14548,9076,4676,1724,399,74,434351,8516,15520,23360,23594,22690,27638,28054,25316,34642,36649,39695,34850,33437,30059,20431,14274,8909,4574,1694,382,67
"양천구","한국인",429468,8348,15202,23327,23225,21827,27116,27621,24672,33835,36405,38916,34548,32920,29891,21165,14518,9070,4672,1720,398,72,430976,8463,15440,23303,23529,22502,27286,27680,24899,34310,36336,39371,34485,33198,29935,20375,14252,8905,4570,1690,382,65
"양천구","등록외국인",3433,42,78,60,67,159,363,366,421,361,320,304,363,282,134,66,30,6,4,4,1,2,3375,53,80,57,65,188,352,374,417,332,313,324,365,239,124,56,22,4,4,4,-,2
"강서구","계",560094,12350,16060,20158,20600,27503,47909,54685,43016,43759,40549,43577,39585,41086,39381,27924,19840,12442,6569,2412,606,83,562194,12531,16603,20272,20703,28296,48324,54736,43213,44446,40460,43853,39699,41505,39455,26902,19421,12330,6445,2333,581,86
"강서구","한국인",553987,12245,15916,20055,20499,27105,47155,53880,42153,43110,40053,43130,39093,40691,39177,27837,19802,12426,6564,2409,604,83,556171,12403,16457,20183,20576,27891,47550,53947,42352,43837,40000,43362,39219,41148,39276,26829,19388,12318,6439,2330,580,86
"강서구","등록외국인",6107,105,144,103,101,398,754,805,863,649,496,447,492,395,204,87,38,16,5,3,2,-,6023,128,146,89,127,405,774,789,861,609,460,491,480,357,179,73,33,12,6,3,1,-
"구로구","계",410727,9820,11953,13951,14385,19067,30468,34138,30448,31233,29402,34173,33445,32853,29919,21642,16110,10490,5169,1629,375,57,411916,10098,12283,14052,14446,19516,30611,34454,30566,31605,29357,34652,33634,32769,29698,20987,15757,10388,5055,1549,385,54
"구로구","한국인",386518,9416,11142,13427,13921,18300,29414,32764,28018,28796,27172,31241,29705,30035,28514,21071,15967,10446,5135,1614,367,53,388169,9578,11488,13591,13932,18719,29589,32927,28061,29300,27158,31507,29869,30423,28498,20545,15650,10346,5024,1536,375,53
"구로구","등록외국인",24209,404,811,524,464,767,1054,1374,2430,2437,2230,2932,3740,2818,1405,571,143,44,34,15,8,4,23747,520,795,461,514,797,1022,1527,2505,2305,2199,3145,3765,2346,1200,442,107,42,31,13,10,1
"금천구","계",238431,4269,5221,6097,6723,10920,23283,24131,16983,15755,14914,19009,20975,21253,17819,12088,8896,5954,2981,950,175,35,239070,4443,5376,6174,6774,11205,23529,24023,16949,15914,15021,19458,21095,21158,17602,11744,8707,5910,2871,909,170,38
"금천구","한국인",224412,4025,4758,5786,6487,10502,22543,23189,15560,14361,13678,17285,18779,19669,17134,11802,8813,5933,2965,939,173,31,225159,4099,4927,5885,6540,10779,22791,23016,15502,14607,13728,17575,18826,19847,17033,11508,8644,5890,2860,899,168,35
"금천구","등록외국인",14019,244,463,311,236,418,740,942,1423,1394,1236,1724,2196,1584,685,286,83,21,16,11,2,4,13911,344,449,289,234,426,738,1007,1447,1307,1293,1883,2269,1311,569,236,63,20,11,10,2,3
"영등포구","계",396834,10069,11304,11648,11744,18797,38323,43114,33672,30196,26718,30568,30367,28654,24827,17326,13123,9171,5095,1704,345,69,397173,10305,11674,11641,11814,19261,38397,43072,33731,30474,26632,31012,30371,28334,24685,16691,12913,9122,5023,1626,329,66
"영등포구","한국인",373056,9725,10573,11151,11346,17888,36986,41630,31351,27999,24518,27828,26781,25838,23405,16786,12984,9131,5056,1687,330,63,373773,9834,10954,11209,11355,18292,37086,41507,31376,28352,24481,27995,26751,26013,23433,16273,12808,9080,4988,1609,317,60
"영등포구","등록외국인",23778,344,731,497,398,909,1337,1484,2321,2197,2200,2740,3586,2816,1422,540,139,40,39,17,15,6,23400,471,720,432,459,969,1311,1565,2355,2122,2151,3017,3620,2321,1252,418,105,42,35,17,12,6
"동작구","계",386897,8093,10265,12202,13836,27768,39433,35723,26979,27180,26030,30133,28172,26825,24676,17834,14345,9975,5217,1726,417,68,387352,8182,10650,12269,13825,28143,39337,35476,27026,27626,26135,30318,28104,27060,24584,17337,14174,9886,5070,1691,391,68
"동작구","한국인",375547,8009,10164,12099,13356,24812,37119,34671,26236,26575,25508,29561,27463,26233,24351,17709,14317,9960,5205,1720,414,65,375799,8083,10542,12165,13025,24757,37353,34494,26307,27033,25638,29729,27373,26517,24326,17232,14154,9874,5056,1686,390,65
"동작구","등록외국인",11350,84,101,103,480,2956,2314,1052,743,605,522,572,709,592,325,125,28,15,12,6,3,3,11553,99,108,104,800,3386,1984,982,719,593,497,589,731,543,258,105,20,12,14,5,1,3
"관악구","계",497213,6661,8384,10877,14240,37685,73416,60126,35051,31298,29464,34477,32989,32246,29613,22398,17778,12496,5858,1745,362,49,495620,6812,8693,10949,14130,37543,73320,59502,34625,31747,29315,34796,32910,32393,29573,21680,17520,12399,5666,1636,360,51
"관악구","한국인",479067,6470,8134,10699,13744,34428,69558,57908,33630,30239,28592,33474,31628,31152,29071,22176,17710,12476,5841,1733,356,48,477812,6591,8432,10778,13318,34048,69807,57513,33299,30718,28482,33697,31527,31464,29105,21507,17469,12378,5646,1627,356,50
"관악구","등록외국인",18146,191,250,178,496,3257,3858,2218,1421,1059,872,1003,1361,1094,542,222,68,20,17,12,6,1,17808,221,261,171,812,3495,3513,1989,1326,1029,833,1099,1383,929,468,173,51,21,20,9,4,1
"서초구","계",412715,10206,16409,22917,22257,21620,27733,29860,28232,35176,36618,37701,29558,24999,23368,17406,13686,8580,4322,1602,400,65,413076,10261,16696,22997,22133,22058,27814,30016,28329,35539,36424,37836,29130,25108,23612,16935,13512,8450,4228,1533,402,63
"서초구","한국인",407958,10110,16216,22695,22119,21362,27164,29258,27598,34525,36133,37364,29303,24846,23283,17367,13668,8571,4315,1600,397,64,408376,10139,16495,22797,21992,21740,27233,29429,27687,34886,35995,37500,28902,24975,23551,16905,13493,8443,4221,1532,399,62
"서초구","등록외국인",4757,96,193,222,138,258,569,602,634,651,485,337,255,153,85,39,18,9,7,2,3,1,4700,122,201,200,141,318,581,587,642,653,429,336,228,133,61,30,19,7,7,1,3,1
"강남구","계",563189,12373,20748,32669,31141,28353,38755,43758,39205,49505,52372,50222,38512,32908,31003,24204,18277,11087,5426,2021,566,84,563215,12339,20970,32457,31305,29000,39063,43926,39236,49825,52029,50334,38156,33105,31363,23302,18079,10834,5280,1971,557,84
"강남구","한국인",557296,12310,20677,32603,31020,27823,37621,42699,38353,48860,51975,49883,38242,32748,30917,24157,18247,11077,5416,2020,565,83,557345,12273,20887,32396,31131,28418,37886,42889,38402,49268,51624,50016,37899,32965,31274,23259,18050,10828,5271,1970,556,83
"강남구","등록외국인",5893,63,71,66,121,530,1134,1059,852,645,397,339,270,160,86,47,30,10,10,1,1,1,5870,66,83,61,174,582,1177,1037,834,557,405,318,257,140,89,43,29,6,9,1,1,1
"송파구","계",654127,16666,24232,29067,27603,31435,49438,57110,50514,55356,50055,52581,47950,46466,42893,30340,20774,12423,6146,2375,608,95,656310,16742,24679,29206,27895,32417,49703,57150,50451,56026,49825,53051,48103,46819,43300,29233,20405,12257,6067,2290,604,87
"송파구","한국인",647895,16551,24081,28967,27494,31048,48786,56290,49611,54650,49591,52055,47401,46059,42688,30257,20746,12405,6140,2373,607,95,650110,16611,24529,29110,27740,32018,49024,56305,49589,55343,49386,52496,47508,46494,43121,29172,20379,12245,6062,2288,603,87
"송파구","등록외국인",6232,115,151,100,109,387,652,820,903,706,464,526,549,407,205,83,28,18,6,2,1,-,6200,131,150,96,155,399,679,845,862,683,439,555,595,325,179,61,26,12,5,2,1,-
"강동구","계",500002,14078,18973,22255,20738,23094,35009,40321,37093,42602,38808,39355,36468,37627,35066,24761,16768,9946,4688,1776,499,77,481474,13241,18042,21051,19995,22933,34247,38696,35361,40762,36780,38314,35396,36761,34259,23056,16165,9638,4558,1670,467,82
"강동구","한국인",495271,13974,18863,22141,20642,22769,34423,39664,36527,42110,38450,38974,36066,37333,34912,24704,16744,9939,4687,1775,498,76,476942,13137,17932,20943,19891,22583,33645,38111,34806,40334,36445,37920,34996,36512,34129,23008,16145,9632,4557,1668,467,81
"강동구","등록외국인",4731,104,110,114,96,325,586,657,566,492,358,381,402,294,154,57,24,7,1,1,1,1,4532,104,110,108,104,350,602,585,555,428,335,394,400,249,130,48,20,6,1,2,-,1
   
