,연령별(만)인구현황(기관별),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,행정기관 : 대전광역시 서구 ,,,,,,,,,,,출력일자 :,2025.05.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,통계년월 : 2025년 04월 현재,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연령,,서구,,,복수동,,,도마1동,,,도마2동,,,정림동,,,변동,,,용문동,,,탄방동,,,괴정동,,,가장동,,,내동,,,갈마1동,,,갈마2동,,,월평1동,,,월평2동,,,월평3동,,,가수원동,,,도안동,,,관저1동,,,관저2동,,,기성동,,,둔산1동,,,둔산2동,,,만년동,,,둔산3동,,
,,,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비
,,여,"35,609",15.14,,"1,819",17.05,,"1,024",11.27,,"1,111",11.68,,910,11.89,,772,12.47,,"1,161",13.46,,"2,036",15.08,,"1,143",12.22,,723,13.27,,"1,672",14.56,,"1,310",12.72,,"1,514",12.91,,535,10.63,,820,11.69,,"1,577",15.45,,609,11.79,,"3,895",20.95,,"1,024",13.16,,"4,418",18.07,,137,8.48,,"2,042",24.84,,"2,889",16.10,,851,14.48,,"1,617",16.60,
,50세 ~ 59세,계,"76,901",16.68,93.91,"3,945",18.68,104.30,"2,790",15.26,96.76,"3,114",16.43,98.09,"2,637",17.82,85.97,"2,186",17.43,107.01,"2,505",14.98,93.14,"4,091",15.75,94.35,"2,515",13.79,96.18,"1,829",17.45,90.52,"3,858",17.55,89.02,"3,131",15.02,95.93,"3,790",16.13,93.76,"1,646",14.91,108.35,"2,363",17.76,86.21,"3,456",17.36,85.21,"1,795",17.73,95.32,"5,038",13.83,100.72,"2,612",17.93,78.54,"8,417",17.72,93.27,552,16.55,131.93,"2,741",16.85,109.88,"6,361",18.44,85.72,"2,133",17.78,89.60,"3,396",18.15,93.06
,,남,"37,242",16.49,,"2,014",19.27,,"1,372",14.91,,"1,542",16.34,,"1,219",17.07,,"1,130",17.80,,"1,208",14.93,,"1,986",15.92,,"1,233",13.88,,869,17.25,,"1,817",17.30,,"1,533",14.54,,"1,834",15.59,,856,14.26,,"1,094",17.38,,"1,590",16.39,,876,17.66,,"2,528",14.18,,"1,149",16.94,,"4,062",17.62,,314,18.25,,"1,435",17.84,,"2,936",17.75,,"1,008",16.46,,"1,637",18.25,
,,여,"39,659",16.86,,"1,931",18.10,,"1,418",15.61,,"1,572",16.52,,"1,418",18.53,,"1,056",17.06,,"1,297",15.03,,"2,105",15.59,,"1,282",13.71,,960,17.62,,"2,041",17.78,,"1,598",15.52,,"1,956",16.68,,790,15.69,,"1,269",18.10,,"1,866",18.28,,919,17.80,,"2,510",13.50,,"1,463",18.79,,"4,355",17.81,,238,14.74,,"1,306",15.88,,"3,425",19.08,,"1,125",19.15,,"1,759",18.06,
,60세 ~ 69세,계,"63,085",13.68,90.34,"2,686",12.72,94.08,"3,050",16.68,90.63,"3,270",17.25,84.75,"3,161",21.37,87.93,"2,358",18.80,89.55,"1,991",11.91,85.04,"3,144",12.10,86.37,"1,980",10.86,86.97,"1,674",15.97,83.15,"3,422",15.57,86.59,"3,175",15.23,89.67,"3,036",12.92,93.87,"1,422",12.88,101.70,"2,645",19.88,90.84,"3,485",17.50,87.37,"1,994",19.70,84.97,"2,995",8.22,94.10,"2,092",14.36,92.99,"4,810",10.13,89.89,769,23.05,123.55,"1,389",8.54,104.87,"4,268",12.37,92.86,"1,589",13.24,97.64,"2,680",14.32,88.07
,,남,"29,942",13.25,,"1,302",12.46,,"1,450",15.76,,"1,500",15.89,,"1,479",20.71,,"1,114",17.54,,915,11.31,,"1,457",11.68,,921,10.37,,760,15.09,,"1,588",15.12,,"1,501",14.23,,"1,470",12.50,,717,11.94,,"1,259",20.01,,"1,625",16.75,,916,18.47,,"1,452",8.14,,"1,008",14.86,,"2,277",9.88,,425,24.69,,711,8.84,,"2,055",12.42,,785,12.82,,"1,255",13.99,
,,여,"33,143",14.09,,"1,384",12.97,,"1,600",17.61,,"1,770",18.60,,"1,682",21.98,,"1,244",20.10,,"1,076",12.47,,"1,687",12.50,,"1,059",11.32,,914,16.78,,"1,834",15.98,,"1,674",16.26,,"1,566",13.35,,705,14.00,,"1,386",19.77,,"1,860",18.22,,"1,078",20.88,,"1,543",8.30,,"1,084",13.93,,"2,533",10.36,,344,21.30,,678,8.25,,"2,213",12.33,,804,13.68,,"1,425",14.63,
,70세 ~ 79세,계,"32,174",6.98,85.64,"1,585",7.51,87.35,"1,922",10.51,82.70,"2,118",11.18,85.46,"1,611",10.89,80.81,"1,408",11.23,89.25,"1,234",7.38,75.28,"1,354",5.21,84.97,"1,112",6.10,85.95,"1,118",10.66,78.31,"2,042",9.29,79.91,"1,532",7.35,89.60,"1,178",5.01,82.64,672,6.09,90.37,"1,412",10.61,87.77,"1,339",6.72,95.19,"1,106",10.92,84.03,"1,048",2.88,101.54,891,6.12,81.10,"2,097",4.42,80.78,595,17.84,104.47,896,5.51,90.23,"1,673",4.85,97.52,579,4.83,83.81,"1,652",8.83,79.76
,,남,"14,843",6.57,,739,7.07,,870,9.46,,976,10.34,,720,10.08,,664,10.46,,530,6.55,,622,4.99,,514,5.79,,491,9.75,,907,8.64,,724,6.87,,533,4.53,,319,5.31,,660,10.49,,653,6.73,,505,10.18,,528,2.96,,399,5.88,,937,4.07,,304,17.66,,425,5.28,,826,4.99,,264,4.31,,733,8.17,
,,여,"17,331",7.37,,846,7.93,,"1,052",11.58,,"1,142",12.00,,891,11.64,,744,12.02,,704,8.16,,732,5.42,,598,6.39,,627,11.51,,"1,135",9.89,,808,7.85,,645,5.50,,353,7.01,,752,10.72,,686,6.72,,601,11.64,,520,2.80,,492,6.32,,"1,160",4.74,,291,18.02,,471,5.73,,847,4.72,,315,5.36,,919,9.43,
